category,message,processed_text,target
ham,"Me not waking up until 4 in the afternoon, sup",waking afternoon sup,0
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",time n smile r two crucial things sometimes time makes us forget smile sometimes someones smile makes us forget time gud noon,0
ham,G wants to know where the fuck you are,g wants know fuck,0
ham,Call me when u're done...,call ure,0
ham,Mode men or have you left.,mode men,0
ham,U attend ur driving lesson how many times a wk n which day?,u attend ur driving lesson many times wk n day,0
ham,So u workin overtime nigpun?,u workin overtime nigpun,0
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",met stranger choose long world stands friendship never lets friends forever gud,0
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,nokia get win free take part send nokia hgsuitelands rowwjhl,1
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",happy new year u ur new year bring happiness stability tranquility ur vibrant colourful life,0
ham,So dont use hook up any how,dont use hook,0
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,want new video handset anytime network mins half price line rental camcorder reply call delivery tomorrow,1
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",know god created gap one made comes amp fills gaps holding hand,0
ham,I wanna watch that movie,wanna watch movie,0
ham,"Hey elaine, is today's meeting still on?",hey elaine todays meeting still,0
ham,"Dear relieved of westonzoyland, all going to plan this end too!",dear relieved westonzoyland going plan end,0
ham,will you like to be spoiled? :),like spoiled,0
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaidthis friend u,0
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",urgent call complementary tenerife holiday cash await collection sae tcs po box wa px ppm sender hol offer,1
ham,Where are you call me.,call,0
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm",got arrested possession shit lttimegt pm,0
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,usually take fifteen fucking minutes respond yes question,0
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,working eyes philosophy text u later bit free,0
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,btw regarding really try see anyone else th guy commit random dude,0
ham,Stupid.its not possible,possible,0
ham,Happy New Year Princess!,happy new year princess,0
ham,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",boy late father power frndship,0
ham,I'm at home. Please call,im please call,0
ham,Spoons it is then okay?,spoons okay,0
ham,Did u got that persons story,u got persons story,0
ham,Ok. There may be a free gym about.,may free gym,0
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt call mobileupd calloptoutfq,1
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,private account statement shows unredeemed call identifier code expires,1
ham,Sorry i din lock my keypad.,sorry din lock,0
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,life spend someone lifetime may meaningless moments spent someone really love means life,0
ham,Dear how is chechi. Did you talk to her,dear talk,0
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,cud im going havent got way contact,0
ham,Aight do you still want to get money,aight still want get money,0
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,message welcome new improved sex dogging club unsubscribe service reply msgsp,1
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",especially since talk boston personal statement lol woulda changed realized said nyc says boston,0
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,got got colours one colour quite light n e darker actually im done shes styling hair,0
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",nah straight bring bud drinks something thats actually little useful straight cash,0
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,urgent please call abta complimentary tenerife holiday cash await collection sae tcs box cwwx ppm,1
ham,Do you like shaking your booty on the dance floor?,like shaking booty dance floor,0
ham,Aight should I just plan to come up later tonight?,aight plan come later tonight,0
ham,How are you. Wish you a great semester,wish great semester,0
ham,Also hi wesley how've you been,also hi wesley howve,0
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,pls convey birthday wishes dnt forget today birthday shijas,0
spam,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,congratulations weeks competition draw u prize claim call tcsstop sms ppm,1
ham,I'm also came to room.,im also came,0
ham,You can jot down things you want to remember later.,jot things want remember,0
ham,"Yup, leaving right now, be back soon",yup leaving right back soon,0
ham,Good Morning plz call me sir,good morning plz call sir,0
ham,Have you seen who's back at Holby?!,seen whos back holby,0
ham,Are you there in room.,,0
ham,Should I head straight there or what,head straight,0
ham,Yep get with the program. You're slacking.,yep get youre,0
ham,"Come round, it's . ",come round,0
ham,"Sorry, I'll call later",sorry ill call later,0
ham,Then what about further plan?,plan,0
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ummmmmaah many many happy returns day dear sweet happy birthday dear,0
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",sorry chikku cell got problem thts nt able reply u msg,0
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",lemme know swing pick im free basically time semester,0
ham,Im on gloucesterroad what are uup to later?,im gloucesterroad uup later,0
ham,Go where n buy? Juz buy when we get there lar.,go n buy juz buy get,0
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,good journey let know need shall tell like pendent,0
ham,I attended but nothing is there.,attended nothing,0
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",got takes take part wrc rally oz u lucozade energy text rally le p see packs itcould u,1
ham,Honey boo I'm missing u.,honey boo im missing,0
ham,Enjoy urself tmr...,enjoy urself,0
ham,"Nothing really, just making sure everybody's up to speed",nothing really making sure everybodys speed,0
ham,From tomorrow onwards eve 6 to 3 work.,tomorrow onwards eve,0
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",thk juz go accordin wat discussed yest lor except kb cos theres nt much lesson go attend kb,0
ham,The basket's gettin full so I might be by tonight,baskets gettin full might tonight,0
ham,Yo im right by yo work,yo im right yo work,0
ham,"He will, you guys close?",guys close,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass call c suprman v matrix starwars etc free dont miss,1
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,wish things wonder able show much value pls continue brisk walks drugs without askin please find things laugh love,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat im really hungry mark getting knows im sick turn lol,0
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",cash prize claim tc rstm sw ppm,1
ham,Good. No swimsuit allowed :),swimsuit allowed,0
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",faith makes things possiblehope makes things worklove makes things beautifulmay three christmasmerry christmas,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well im gonna finish bath,0
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,natalie f inviting reply yes see stop send stop frnd,1
ham,Is xy going 4 e lunch?,xy going e lunch,0
ham,So wats ur opinion abt him and how abt is character?,wats ur opinion abt abt character,0
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,valued vodafone customer computer picked win collect call,1
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,aiyo u poor u dun wan eat u bathe already,0
ham,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,im really really broke amount small even ltgt,0
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,tried contact response offer new nokia fone camcorder hit reply call delivery,1
ham,meet you in corporation st outside gap … you can see how my mind is working!,meet corporation st outside gap see mind working,0
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",new mobiles must go txt nokia collect today optout,1
ham,On ma way to school. Can you pls send me ashley's number,way pls send ashleys number,0
ham,So u gonna get deus ex?,u gonna get deus ex,0
ham,Okie,okie,0
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",cant speak bcaz mobile listen cannt listen calls,0
ham,"Fuuuuck I need to stop sleepin, sup",fuuuuck need stop sleepin sup,0
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.,thinl role like others,0
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,jus telling u dat ill b leaving shanghai st instead well haf time meet,0
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,im putting ready lttimegt,0
ham,Oh wow thats gay. Will firmware update help,oh wow thats firmware update help,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old mom like better always one play,0
ham,Or just do that 6times,times,0
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,hard live chat choose girl connect call cheap chat uks biggest live vu bcmwcnxx,1
spam,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",nd time tried contact u pound claim easy call p per,1
ham,I meant middle left or right?,meant middle left right,0
ham,K I'll be there before 4.,k ill,0
ham,Dont you have message offer,dont message offer,0
spam,You have 1 new message. Please call 08712400200.,new please call,1
ham,K..k..any special today?,special today,0
ham,K I'll be sure to get up before noon and see what's what,k ill sure get noon see whats,0
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",fine imma get drink want come find,0
ham,So ü pay first lar... Then when is da stock comin...,pay first da stock,0
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",hi love goes day fuck morning woke dropped cell way stairs seems alright phews miss,0
ham,I told that am coming on wednesday.,told coming,0
ham,Buy one egg for me da..please:),buy one egg,0
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,love hope anything dont dare sell pc phone,0
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",japanese proverb one u none itu must indian version one let none itleave finally kerala version one stop none make strike,0
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,dear uve invited final attempt contact u txt chat,1
ham,If he started searching he will get job in few days.he have great potential and talent.,started searching get job great potential,0
ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,posible dnt live ltgt century cm frwd n thnk different,0
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,urgent nd attempt contact uu call b callcost ppm,1
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",k fyi im back parents place south tampa might need deal somewhere else,0
ham,Are you planning to come chennai?,planning come chennai,0
ham,* Am on my way,way,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded bonus prize call,1
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,people tour thought sofa thing sent curious sugar,0
ham,I am in a marriage function,marriage function,0
ham,So that means you still think of teju,means still think teju,0
ham,"I'm back, lemme know when you're ready",im back lemme know youre ready,0
ham,Nobody names their penis a girls name this story doesn't add up at all,nobody names penis girls name story doesnt add,0
ham,Are you still playing with gautham?,still playing gautham,0
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?,hey im im thinking wat r u,0
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",save person dorm account send account details money sent,0
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",loan purpose homeowners tenants previously refused still call free text back help,1
ham,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,forgot ask theres card da present want write smth sign,0
ham,S...i will take mokka players only:),take mokka players,0
ham,Mine here like all fr china then so noisy.,mine like fr china,0
ham,"K, I might come by tonight then if my class lets out early",k might come tonight class lets early,0
ham,U sick still can go shopping?,u sick still go shopping,0
ham,"Customer place, i wil cal u sir.",customer place wil cal u,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet pm orchard mrt,0
ham,"Fair enough, anything going on?",fair enough anything going,0
ham,Shall i come to get pickle,shall come get pickle,0
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,somewhere beneath pale moon light someone think u dreams come goodnite amp sweet dreams,0
ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",feb ltgt love u send dis ur valued frnds evn comes back ull gt married person u luv u ignore dis u lose ur luv evr,0
ham,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?",would good ill phone tomo lunchtime shall organise something,0
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,movie theatre go watch unlimited movies pay,0
ham,Where are the garage keys? They aren't on the bookshelf,garage keys arent bookshelf,0
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,new club dont fink met yet b gr c u please leave msg day wiv ur area reply promised carlie x callsminmobsmore lkpoboxhpfl,1
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",worries hope photo shoot went spiffing fun,0
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx,0
ham,"sorry brah, just finished the last of my exams, what up",sorry brah finished last exams,0
ham,O shore are you takin the bus,shore takin bus,0
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,kick new season wks free goals news ur mobile txt ur club name eg villa,1
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),reading gud nan bari hudgi yorge pataistha ertini kano,0
ham,No. On the way home. So if not for the long dry spell the season would have been over,way long dry spell season would,0
ham,"Didn't try, g and I decided not to head out",didnt try g decided head,0
ham,Sorry da thangam.it's my mistake.,sorry da,0
ham,Fine. Do you remember me.,remember,0
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype,hes thats sad part keep touch thanks skype,0
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",know dat feelin pete wuld get em nuther place nuther time mayb,0
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,free text text ok well credit account,1
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,new years eve went party si hey,0
ham,Do u noe wat time e place dat sells 4d closes?,u noe wat time e place dat sells closes,0
ham,Can a not?,,0
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?,aft meeting supervisor got work u working,0
ham,No de.am seeing in online shop so that i asked.,seeing online shop,0
ham,Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!,aww must nearly deadwell jez iscoming todo workand whilltake forever,0
ham,Yo dude guess who just got arrested the other day,yo dude guess got arrested day,0
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,u secret reveal thinks u r call opt reply reveal per msg cust care,1
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,today accept accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,0
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning,hi neva worry bout da truth coz truth lead ur least unique person like u sleep tight morning,0
ham,Jus finished avatar nigro,jus finished avatar nigro,0
ham,Can ü send me a copy of da report?,send copy da report,0
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,ok ill send ltdecimalgt,0
ham,"Oh yes, why is it like torture watching england?",oh yes like torture watching england,0
ham,HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.,hey das iknow wellda peril studentfinancial crisisspk u,0
ham,"Hey , is * rite u put »10 evey mnth is that all?",hey rite u put evey mnth,0
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,ywhere u dogbreath sounding like jan c thats al,0
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,hey gorgeous work mobile number good one squishy,0
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,message sent askin ltgt shoul pay ltgt ltgt,0
ham,"That's what I love to hear :V see you sundayish, then",thats love hear v see sundayish,0
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",lateso call tomorrow care sweet,0
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,wat makes u thk ill fall actually thk im quite prone lucky dad home ask come n fetch,0
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",costa del sol holiday await call sae tc pobox stockport skxh maxmins,1
ham,"I am real, baby! I want to bring out your inner tigress...",real baby want bring inner,0
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,officewhats call,0
ham,I love to give massages. I use lots of baby oil... What is your fave position?,love give use lots baby fave position,0
ham,"K will do, addie &amp; I are doing some art so I'll be here when you get home",k addie amp art ill get home,0
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,think far find check google maps place,0
ham,Ok.. Ü finishing soon?,finishing soon,0
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send",repeat text word ok mobile phone send,1
ham,That seems unnecessarily affectionate,seems unnecessarily affectionate,0
